name,gender,birthday,entrance,graduation,location,company,job,phone,email,wechat,
XiahouYuxin,male,19980213,2015,2019,hongkong,meituan,anaylst,15755110550,s7wau@hotmail.com,8ow2j1rau7,
GuYuxuan,male,19980521,2015,2011,shanghai,douyin,anaylst,15777029680,mru2cv@sohu.com,r3tiqjfibb,
PingYinuo,male,19980519,2017,2018,shijiazhuang,microsoft,officer,13334852435,efqbf@outlook.com,0ucs1r37a,
PingXinyi,male,19980119,2016,2011,hangzhou,baidu,anaylst,13874936668,qvam2k@ask.com,9u8qjfoljqv0,
SunLin,male,19970907,2017,2019,hongkong,alibaba,officer,13667346149,yc9ur@live.com,y7ex7fmsdc,
ZhouYuhan,female,19980819,2017,2018,shanghai,microsoft,engineer,13996724262,8cw3q@yahoo.com,di7e9uet1l,
ZhugeXiaoyi,female,19980902,2015,2019,hangzhou,meituan,designer,13495382981,zya@aol.com,a4235baufqi,
ZhengRanran,male,19970111,2016,2011,hangzhou,adobe,manager,15099714227,a81ai@outlook.com,zuasb02466,
ChengZichen,male,19970426,2015,2018,shijiazhuang,adobe,developer,15540435525,6r14vp@ask.com,xpn0xgq3el,
YingXinran,female,19980117,2015,2019,beijing,google,manager,13914684948,d7qcw@aol.com,2cywx9yq,
ZhouRui,female,19970103,2016,2019,xiamen,alibaba,anaylst,15729222493,unaj@aol.com,88ao402qo,
ChenKexin,female,19970227,2017,2011,xiamen,microsoft,engineer,13186475061,m36rk63@outlook.com,jyo7nrxzppcr,
QianYuxin,female,19980208,2016,2011,qingdao,apple,trader,13139351589,6noo5sb@163.com,d2kde55ystbd,
SunRanran,female,19981106,2017,2018,nanjing,microsoft,manager,15876792942,hxpg@qq.com,4trmkxvi8,
JiangXingchen,female,19980315,2015,2018,fuzhou,tencent,editor,15612012803,34xt5jg@163.com,uzyih4l9v2y,
PingXiaotong,male,19980611,2017,2018,shanghai,xdf,editor,13618737587,oukru@gmail.com,z46873xqxny,
DengXiu,male,19980112,2015,2011,nanjing,adobe,developer,15562186900,iegbej@gmail.com,ey0f4t4quh,
WuTianyu,male,19980216,2017,2018,xiamen,microsoft,engineer,15038219365,mmzi37x@hotmail.com,ffetbxpq,
ZhouXiaoyi,female,19970928,2016,2011,xiamen,microsoft,designer,15504271007,kmm7kas@qq.com,cw1qqjl6d0,
LinHaoran,female,19971226,2016,2011,hangzhou,adobe,engineer,15128885409,jap@yahoo.com,6tf2hh27zi,
GuYi,male,19971216,2015,2011,guangzhou,alibaba,designer,15589856207,lhdooj@sina.com,4aq8h10d2,
ZhugeHaishan,female,19970802,2016,2011,fuzhou,adobe,officer,13138199666,z80r@aol.com,y6l9k886jlr,
PangZimo,male,19970919,2015,2018,qingdao,microsoft,manager,15961102370,woerba8@aol.com,fv6n6nsn3dv,
GuiRui,male,19971101,2017,2011,nanchang,adobe,editor,13289948055,uwu5un6@163.com,9fvyxvnbk,
QianYuchen,male,19970406,2015,2019,nanchang,douyin,editor,15940902115,29u@hotmail.com,91bynjdyji,
YuLin,female,19981210,2015,2011,xiamen,google,editor,15161318153,ho4nrqe@hotmail.com,ivnxypq6cd4,
DengXiaohua,male,19980407,2015,2011,nanjing,apple,developer,13434544388,qlc8y38@sohu.com,pjpe3yorw,
QuanHaoran,female,19970403,2017,2011,guangzhou,tencent,editor,13310734087,a6ryc@live.com,19sgupu1,
WuDawei,female,19970112,2017,2019,hangzhou,tencent,designer,15204993797,4gb@outlook.com,yfpl7vn0,
SunShiqi,male,19970520,2016,2011,nanjing,google,engineer,13250003791,kfdr5@sina.com,lxiydnbr,
SunXuan,male,19981210,2016,2011,qingdao,meituan,anaylst,13096062694,hkp95ld@msn.com,a030mwxidnm,
GaoHui,female,19971117,2017,2018,xiamen,tencent,officer,13442841375,sjn6@msn.com,fxq38tnpi,
ZhengYinuo,female,19970226,2017,2018,nanjing,meituan,trader,15970899552,8dq@163.com,yhurkjg8in,
YuRui,female,19970305,2015,2018,zhengzhou,baidu,developer,15001326967,b4q@hotmail.com,7x9pscdbn,
HuaLiang,male,19980621,2017,2018,hangzhou,adobe,engineer,13444693557,en76q@qq.com,dbeij8bctz,
ZhaoShuxia,male,19980315,2016,2018,zhengzhou,xdf,trader,15709475032,zqd@sohu.com,f096t8dcrc6,
LinXiaofeng,female,19970924,2015,2019,nanjing,google,officer,13246557664,czt@gmail.com,9fyil0b7,
GuLiyao,male,19981213,2016,2019,hangzhou,baidu,officer,13268305346,fejn7o@yahoo.com,nissnyjxkwmr,
GuiLin,male,19971105,2016,2011,shijiazhuang,douyin,anaylst,15555538127,jzvb2t@live.com,5tm1ax23,
JiangXiu,female,19980926,2015,2019,fuzhou,douyin,officer,13881941640,dkao4f@ask.com,62pauluw3h,
LuXiaoming,female,19981003,2017,2011,taiyuan,tencent,officer,15662612452,omppp@msn.com,5t1fon195eo0,
ZhaoYun,male,19980309,2017,2019,hangzhou,microsoft,engineer,13187641437,2wopp0@live.com,9xso7x2fn,
LiuHui,male,19970508,2016,2011,xiamen,apple,editor,13072103692,qnh@qq.com,ofutmb1rkz,
ZhenghongYichen,male,19970625,2017,2019,nanjing,google,manager,13741218747,stjb9@163.com,a3bixnwl,
LvYuxuan,male,19970402,2016,2011,shanghai,tencent,manager,15011552937,k1syhl@163.com,14yspnw1w,
ShenTianyu,female,19970414,2016,2019,nanchang,tencent,editor,15972885250,x2ba@outlook.com,uey74k99llf9,
YuYuhan,male,19980418,2017,2011,qingdao,baidu,officer,15034797264,iz6nhd@sohu.com,qbwd1nj0,
FengYinuo,female,19970908,2015,2011,beijing,meituan,engineer,13765462724,gc9@gmail.com,71yzkztzm,
XuQiang,female,19970304,2017,2019,zhengzhou,apple,designer,15293350821,snhgs90@gmail.com,70u7hmuf,
MengJuan,female,19970108,2015,2018,qingdao,xdf,anaylst,15376161042,vlf@sina.com,kedswvkvvxn,
ZhenghongZichen,female,19970324,2015,2011,guangzhou,tencent,trader,15111460068,qeu0@gmail.com,5sl49ugr98,
ZhengDawei,female,19970126,2016,2011,qingdao,douyin,officer,15614414377,vh32x@msn.com,09ph32xuoeo,
BaoXuan,female,19980602,2017,2011,taiyuan,xdf,manager,13237267172,e2fptau@live.com,zt0rjzpm,
ZhaoYue,male,19970103,2016,2019,beijing,alibaba,anaylst,13713636964,q6a7z@outlook.com,qbve3ps0b,
BaoXinyi,female,19980614,2016,2018,shijiazhuang,xdf,engineer,13481834009,1jd@ask.com,q4yxl882mj,
ShenZirui,male,19981110,2017,2019,hangzhou,alibaba,officer,15989327679,bv6@yahoo.com,fgksixucpnuh,
WuYuxuan,female,19980924,2017,2019,nanchang,microsoft,anaylst,13573435236,gzqf6@sohu.com,gns4knhv,
ZhuQiang,female,19970818,2015,2019,shijiazhuang,google,engineer,15313595943,tru4evb@gmail.com,e2ba8kqqw8,
QianBao,female,19980328,2015,2011,shanghai,adobe,developer,15693120655,jbj700@gmail.com,pkyckw1qm,
GuiXiaofeng,male,19970513,2017,2011,fuzhou,meituan,trader,15583434006,49eq1f6@sohu.com,ogqq5avyyz,
LinYuze,female,19970227,2015,2019,xiamen,apple,editor,13272666893,6gu@gmail.com,vk9j6cznkh,
WuYinuo,female,19971222,2016,2019,hongkong,xdf,anaylst,13358345526,5pux@sohu.com,ag2psijy,
GuiQiang,female,19970304,2016,2011,shijiazhuang,douyin,anaylst,15966064760,g9xgkj@msn.com,n2wnewp91px,
LiYouran,male,19981201,2016,2011,zhengzhou,adobe,developer,13331411067,puba@hotmail.com,tg92pt6oob90,
ChenXinyi,male,19980822,2017,2018,shanghai,douyin,designer,15268560880,eh4ks@qq.com,1gqg0ivqfsa,
JiangZirui,female,19971009,2017,2018,guangzhou,microsoft,anaylst,15540901787,1w9eavw@126.net,5ewssya8,
ZhengLin,male,19980114,2015,2019,beijing,microsoft,developer,13420597707,z9l5@live.com,7e0wt2aqn0xf,
NiuYuxin,female,19970914,2015,2011,beijing,google,engineer,13516915375,4q8u@aol.com,e6xd6hph,
ZhouXingchen,female,19981010,2015,2019,shijiazhuang,xdf,engineer,13863050716,utigbza@aol.com,rj28bf0rwq4,
ZhugeXingchen,male,19971003,2017,2019,guangzhou,meituan,trader,13335585169,ehi3h@msn.com,algp14vsfjt,
WangBao,male,19980616,2015,2019,taiyuan,baidu,officer,15256150435,cq80c@sina.com,h91o4gap,
BaoYi,male,19970320,2015,2011,qingdao,microsoft,trader,15163189065,jvooerb@gmail.com,p8dogvy3,
LiuHua,female,19980409,2016,2011,zhengzhou,microsoft,manager,15273476049,27o@qq.com,4ez4czujak,
SunYichen,male,19980501,2017,2019,shijiazhuang,apple,developer,13050977315,jz1ff@outlook.com,2p813d71,
FengYuxuan,female,19980525,2016,2018,fuzhou,google,officer,15576455488,ffy6@sohu.com,98uasbhgxa,
ChenShuxia,female,19980105,2015,2011,beijing,tencent,developer,13190720854,9h92@outlook.com,qcccbk0e5k,
MaoYuhan,female,19980503,2015,2018,zhengzhou,apple,engineer,15011451909,j6jyhj@aol.com,7x547ioj2e,
MengShiqi,male,19981122,2017,2018,shijiazhuang,apple,trader,15989225478,vnq0ya4@126.net,0vgjzt6fh59,
XuRanran,male,19980305,2015,2011,beijing,microsoft,developer,13187634978,xrwbml@126.net,k7xem1mzg2o,
GaoYichen,female,19970228,2015,2018,nanjing,meituan,developer,15149492262,7c47@yahoo.com,fiwz91id,
FengRui,male,19971211,2017,2019,xiamen,douyin,anaylst,15943336042,64gg@outlook.com,opn0ge6gnh,
ZhouBao,female,19970518,2016,2011,hangzhou,adobe,developer,13755688588,8jrg9m@live.com,nzr5kh6pjc,
LiQiang,female,19980719,2015,2019,shanghai,alibaba,designer,13042772113,6qz@sina.com,7zd36ozwp,
PangYichen,female,19980209,2015,2019,hangzhou,douyin,trader,15549909482,tb0r1@yahoo.com,hn8y5fj3,
FengLin,female,19971117,2016,2019,beijing,tencent,trader,13735060155,1iz@126.net,mao5unf9zl45,
QuanZimo,male,19980306,2017,2018,shijiazhuang,tencent,anaylst,15511859263,qiuc@msn.com,e47f1xzmgza,
JiangYuxuan,female,19970906,2015,2011,nanchang,apple,editor,15888121372,6t9jqmu@msn.com,b3wfuy40fa9,
MaYutong,female,19970909,2017,2018,beijing,xdf,trader,13293161498,cwr6rz@outlook.com,ecfpvmyck0,
ChengYinuo,female,19980212,2016,2018,zhengzhou,douyin,developer,15621059048,k0ik5d0@ask.com,p5inuzy2tm,
FengHaishan,female,19980228,2016,2019,zhengzhou,apple,engineer,13594184506,rtc@qq.com,qigbi16k,
ZhenghongHaoyu,female,19971001,2016,2011,shijiazhuang,meituan,officer,15694002209,aaal6e@msn.com,pxphc4pui2,
GuiYouran,female,19980826,2016,2011,shanghai,douyin,designer,13025121834,8k3o2iz@live.com,97bwppl64,
QinRanran,female,19980223,2016,2018,xiamen,adobe,engineer,15317561896,rum6s@yahoo.com,lh5qn6db,
BaoYuxin,male,19981218,2017,2011,beijing,meituan,anaylst,13664127232,a434iif@qq.com,qhpnxcv0pr3p,
JiangTianyu,male,19971126,2015,2011,zhengzhou,meituan,manager,15162100812,ahw2qs@aol.com,js3lbrtl6jcs,
QinYing,female,19970222,2017,2019,qingdao,tencent,trader,13360307118,8y4ln4@sina.com,wry7rpnaml2f,
HuaLiyao,male,19980419,2015,2011,shijiazhuang,apple,manager,15623160751,gsei@qq.com,67nug6b5fgwb,
LiRanran,female,19980814,2017,2011,qingdao,google,anaylst,15139651096,bnxt@163.com,ktuvxcym,
JiangXiaotong,female,19980220,2016,2011,nanchang,microsoft,officer,13442875841,83pj8@hotmail.com,ghc10emf,
ChengJuan,male,19970112,2015,2011,shijiazhuang,xdf,developer,13329437515,ixuc@sina.com,uu96lb40jor8,
GuLiang,female,19970804,2015,2011,hongkong,tencent,developer,13114019972,6yc@sohu.com,g9ae4tox,
GaoXinran,female,19980615,2015,2018,fuzhou,apple,engineer,15791557322,r48@hotmail.com,kugw4vxn,
AiYichen,male,19970827,2015,2018,taiyuan,meituan,editor,13457739007,s028ff@msn.com,ys9yaoigawsh,
CaoRanran,male,19970526,2016,2019,beijing,microsoft,anaylst,15292832568,vl0z@163.com,gl9ogbdvj,
GuiLei,male,19980627,2015,2019,guangzhou,microsoft,engineer,13349255846,zmwvdmm@qq.com,vuvkvrubii,
LinYutong,male,19980808,2015,2011,qingdao,xdf,trader,13340924217,4lhl@sina.com,ccnlxjh5qdx,
QinRui,female,19980519,2015,2019,zhengzhou,baidu,designer,15813463886,5ko2x@outlook.com,74snv5v9n,
BaoYuxuan,male,19970211,2015,2019,taiyuan,tencent,editor,13592433960,k3zbl@sohu.com,wbr5ydoy,
LvZichen,female,19971116,2015,2018,hongkong,google,officer,15885239558,ia47m@yahoo.com,yopvvcvv0g,
NiuXiaoyi,female,19971010,2016,2011,xiamen,microsoft,anaylst,15936197744,mdvw@163.com,yr6pjeyu3,
QinLin,male,19981024,2017,2019,shanghai,tencent,developer,15908968593,hpum4q@qq.com,78z17gr47,
ZhaoYouran,male,19971205,2017,2011,guangzhou,douyin,anaylst,13175028139,0uk0d@msn.com,pkgbvp6kca,
FengYuxin,female,19970523,2016,2018,taiyuan,baidu,developer,15794012025,mbnuvds@ask.com,33ndr9vvgq,
ZhaoZimo,female,19970320,2016,2018,qingdao,xdf,editor,15382855451,m3biz@ask.com,j4tj5qa0,
ChenHui,male,19980117,2016,2011,fuzhou,google,engineer,13245437597,7wlfr@hotmail.com,8y2ein83h,
NiuYinuo,female,19980218,2017,2018,xiamen,meituan,trader,15203568622,6qu9zg@ask.com,8of8ocg41a77,
QuanRui,male,19980608,2016,2019,nanjing,apple,designer,13056674771,9lj94@yahoo.com,mecfnvkxwb3z,
ChenHua,male,19980910,2017,2019,qingdao,apple,trader,15225881749,psmp4iq@msn.com,i92t5b1canq,
LinHaoyu,male,19970725,2016,2019,hangzhou,xdf,engineer,15060806127,vvfmcs@ask.com,hqc4796ow,
MaoYuxuan,female,19971209,2016,2011,guangzhou,baidu,engineer,13627238708,1yu@ask.com,uawl5ebyxap8,
WangJun,male,19971205,2016,2019,shanghai,douyin,officer,15795769423,h26@outlook.com,bpa7pryq09c,
YingXiaoyi,male,19980908,2016,2018,nanchang,meituan,engineer,13543977471,4v96@msn.com,c9cexzcuuz,
QuanLin,female,19970426,2016,2018,beijing,alibaba,manager,15786851416,9w0alnv@outlook.com,a2zssjjncd,
YingYuxin,female,19970804,2015,2011,taiyuan,meituan,designer,13028894892,94h@hotmail.com,tmpj15m8ildm,
YuLiang,female,19980828,2016,2019,shanghai,meituan,developer,13953543667,ihsb@sohu.com,ic8kv5vgt,
PangYuzhe,female,19980822,2015,2011,qingdao,xdf,editor,13381550300,hq942q@gmail.com,8fsjmyoj,
GuYuzhe,female,19980615,2017,2019,xiamen,baidu,anaylst,15205481153,affcugn@outlook.com,oakpwrqneyt4,
ChenYun,female,19970912,2015,2011,nanjing,apple,engineer,13329534431,abtioa0@qq.com,dwvzdcj4nr,
MaoXiaohua,male,19980915,2016,2011,hongkong,meituan,officer,13316335609,jxj3c@163.com,lpeq46wzp,
CaoYuhan,male,19970102,2017,2019,qingdao,xdf,designer,15503265726,1r668@gmail.com,7g0f9y0tmwc,
GuiHaoran,male,19980717,2017,2011,shanghai,douyin,manager,15618908646,122anx@qq.com,su9xukel,
YuHaoyu,female,19971105,2016,2011,hongkong,apple,designer,13332284489,5qc@live.com,7hsydycgxfmv,
XuXinyi,female,19970122,2016,2019,qingdao,google,manager,15852254251,cg96@outlook.com,8xnaaxva,
ZhaoBao,male,19971002,2017,2019,qingdao,google,editor,13844047527,pryqu5@yahoo.com,9jq4pcs15sf,
LiuZimo,female,19970705,2017,2019,hongkong,xdf,officer,13349109521,ghik9bo@outlook.com,sc94qxk9,
MaTianyu,female,19980926,2017,2019,guangzhou,apple,editor,15355001100,prc@sohu.com,9od3booj,
GaoYuzhe,female,19970224,2016,2019,guangzhou,baidu,manager,15944086014,cx2e@msn.com,a9uidh2gyvez,
FengLei,female,19971204,2015,2011,hongkong,alibaba,editor,15369960026,t73tj@163.com,xcl1s7iwn9,
ZhenghongKexin,male,19970218,2015,2011,qingdao,douyin,developer,13738480861,pda@msn.com,2xx5uqsc4t7o,
XiahouJuan,male,19971028,2016,2019,zhengzhou,google,officer,13110151241,t0v@outlook.com,ps3ghmnb6se,
QuanShiqi,male,19980721,2017,2018,hongkong,alibaba,officer,13246684725,r6k@sina.com,uvtfjpsrma,
BaoYinuo,male,19981017,2017,2018,shanghai,douyin,trader,13531232264,9ode@qq.com,zr9usk7do,
WangYue,male,19970223,2016,2019,nanjing,apple,engineer,13271043632,0p6mmm@aol.com,4grsyvrxdf19,
AiZimo,female,19970210,2015,2011,shanghai,xdf,manager,15372351516,aa2@live.com,mcob10r7n,
LvYuxin,female,19980311,2016,2011,fuzhou,tencent,designer,13486763546,762xp@sina.com,a9z7ktcdseh,
HanJun,female,19970108,2017,2011,beijing,apple,trader,13463777389,vsn0@sina.com,ulgepzy2bu,
ChenDawei,female,19981101,2017,2018,shijiazhuang,microsoft,anaylst,13765249127,xcf50@ask.com,kg9j59o5gdt,
ZhuLin,female,19971006,2017,2011,shanghai,douyin,editor,13703339305,n9wd8b7@aol.com,4r8prneryj,
FengXiaoyi,male,19971116,2017,2018,taiyuan,tencent,trader,15234815586,aw3r0p@163.com,mbqq2cpz28,
ZhugeXuan,male,19970618,2015,2011,hangzhou,alibaba,trader,15800344294,lhqt29n@yahoo.com,kn9npb9d,
GuXiaoming,male,19980209,2015,2019,shanghai,alibaba,editor,15616571383,8stlml@qq.com,hur11zi2,
QianShuxia,male,19980714,2016,2019,hangzhou,meituan,developer,15663742907,kl5qqen@ask.com,a5ff4cjpun,
PingXiaohua,female,19970201,2016,2019,hangzhou,apple,anaylst,15270441437,bgdxnw1@aol.com,5iqkka7cg,
MaKexin,male,19970328,2015,2011,fuzhou,microsoft,trader,15565424867,khh0r0g@gmail.com,ftflwyhwwo,
LinYouran,female,19980111,2017,2019,shanghai,google,trader,15950283620,us90bqq@qq.com,mfrgwlcmeb,
ZhaoLiyao,male,19970103,2015,2011,hangzhou,google,anaylst,15135462300,50t7@qq.com,7afhnj4f,
QuanXiaotong,male,19970317,2015,2019,fuzhou,google,officer,15041588782,bs5d7r@ask.com,sir7cevqwv,
XuXiaoming,female,19981117,2016,2011,shijiazhuang,microsoft,trader,15828721411,teitcso@hotmail.com,bxxj67oi1vbs,
MaoYi,female,19970113,2015,2018,xiamen,alibaba,trader,13192071317,2vbb6j2@outlook.com,9w5n0ovbt7h,
WangLiyao,female,19981223,2017,2018,qingdao,apple,engineer,13589626008,ve8@gmail.com,y4q102vnh2b3,
WangYuxuan,female,19980414,2016,2018,shijiazhuang,microsoft,trader,13984227927,muno@qq.com,razrhn29,
LvYing,male,19980806,2016,2011,nanchang,adobe,editor,13815842536,mq37@gmail.com,p6amk02vu0hl,
ZhugeXinran,female,19980415,2016,2018,zhengzhou,douyin,designer,13405462194,4ezyqb@163.com,j8gnmijmz,
WuXiaohua,male,19980808,2016,2019,hangzhou,douyin,developer,13464078578,7r5og@gmail.com,arqssnv9mto,
WangHua,female,19980610,2015,2011,taiyuan,alibaba,engineer,15804560733,czz0@yahoo.com,v4y63j77eub,
LiuBao,male,19970827,2015,2011,guangzhou,alibaba,anaylst,15296234819,7owv@163.com,kew4ca2h,
AiYutong,female,19970221,2015,2011,qingdao,alibaba,designer,13259225551,hq5d@yahoo.com,ryjqsqu6,
QuanXinran,female,19981015,2015,2018,xiamen,baidu,editor,13502715398,lwmpu@ask.com,sqnkyjkgtyph,
WangHui,female,19980810,2016,2011,hangzhou,tencent,trader,15742875828,phb2tce@msn.com,kyhkftrjik81,
WuHaoyu,male,19971118,2015,2018,fuzhou,apple,anaylst,15505487299,5jmxnzs@gmail.com,6e0a4onor6k2,
WuJuan,female,19980815,2015,2018,xiamen,microsoft,designer,13980893434,4cnr426@yahoo.com,j7oqlvnefmi,
WuXinyi,female,19970417,2017,2019,fuzhou,xdf,editor,13952544090,okwi@sina.com,ok2jzoo4j3,
YangDawei,male,19970320,2017,2018,beijing,xdf,editor,15161729773,2avwjxc@126.net,4rvwf4rf,
ZhugeXinyi,female,19970611,2017,2011,guangzhou,douyin,officer,13196522052,6b4i@outlook.com,wmfl2y41,
YangYue,male,19980109,2015,2019,fuzhou,baidu,manager,15182189357,qvzk@sina.com,esb8wuqo6lk,
QianYuzhe,female,19980908,2017,2018,shijiazhuang,google,trader,13797316689,kkv8by5@qq.com,vv13ak8ym,
HuaZimo,male,19971211,2016,2019,shijiazhuang,meituan,designer,13099397286,kmt@163.com,vbt9lartcf8t,
ZhengShuxia,female,19980316,2017,2019,zhengzhou,douyin,anaylst,13390244113,28qra@aol.com,7c4xbpvw,
ZhugeLei,female,19981214,2017,2011,nanjing,apple,designer,15846636946,ey8@qq.com,y5745mn3vb,
AiXiu,female,19970317,2017,2018,fuzhou,google,engineer,13259871133,qtv3j@gmail.com,ucrl6jyjf,
PingYuchen,female,19970327,2017,2018,shanghai,alibaba,developer,15555656993,l69@hotmail.com,d0fl20kkwit,
QuanYuchen,male,19981001,2017,2011,hangzhou,meituan,developer,13647762505,mxn@qq.com,gh4ap44o4,
LiXiaoming,female,19980910,2015,2011,nanchang,meituan,designer,15260461464,jjv@163.com,d730tpqe,
LvXiu,male,19980812,2017,2011,fuzhou,meituan,engineer,15229962456,dwx@hotmail.com,oxtuou7y7d4,
YangYun,female,19970312,2017,2011,xiamen,meituan,designer,13215026063,xambtmj@aol.com,2ruxf299,
MengHaoyu,male,19970307,2016,2011,nanchang,microsoft,developer,15282759352,mvpw2@aol.com,wavwp3oe,
GaoXiaoyi,male,19980621,2017,2011,beijing,tencent,engineer,15607259309,abqo@yahoo.com,tqu2q2soez,
YuRanran,female,19970223,2016,2011,guangzhou,tencent,trader,13333556258,qa96@qq.com,rlw2zf557e,
WangZeyu,male,19970212,2017,2018,qingdao,meituan,anaylst,13463165866,ujc1mzz@sohu.com,8dupt0yf,
CaoYichen,female,19980601,2015,2018,zhengzhou,tencent,developer,13770448354,8po@sina.com,oamwrvselg,
XuYuxin,male,19980823,2015,2018,shanghai,tencent,anaylst,15936397689,1pxo@sohu.com,k2met5rxap0a,
ShenLin,male,19970816,2017,2019,qingdao,apple,anaylst,15994173892,qu1y@163.com,q08706z2tn,
CaoJuan,male,19970813,2016,2018,xiamen,meituan,developer,15989927938,0vyf@sohu.com,ye0qiujha,
LinLiang,female,19971117,2017,2018,nanjing,google,developer,13890480574,18zo0k@live.com,5tvzh8z4u,
MengQiang,female,19970613,2016,2018,nanchang,alibaba,developer,15340564092,6hi1@outlook.com,n2ai9dhd,
